City_locality,iso3,country,super_region,super_region_name,pm25,sat_2014
,AUS,Australia,1,HighIncome,33.4638009049774,33.3142921185601
´è_´è__lhavo,PRT,Portugal,1,HighIncome,15,9.86699962615967
´è_´è__vila,ESP,Spain,1,HighIncome,10,9.17549991607666
AACHEN,DEU,Germany,1,HighIncome,13,15.5379972457886
AALBORG,DNK,Denmark,1,HighIncome,11,9.79850196838379
AALEN,DEU,Germany,1,HighIncome,12,19.3479995727539
AALESUND,NOR,Norway,1,HighIncome,7.5,4.72599935531616
AARSCHOT,BEL,Belgium,1,HighIncome,15,15.7580051422119
Aba,NGA,Nigeria,7,Sub-Saharan Afr,49,45.8204879760742
Abakaliki,NGA,Nigeria,7,Sub-Saharan Afr,28,52.1980171203613
ABANTO Y CIERVANA/ABANTO ZIERB,ESP,Spain,1,HighIncome,12,9.25250148773193
Abastumani,GEO,Georgia,4,E-Eur/C-Eur/C-Asia,15,18.2754993438721
ABBOTSFORD,CAN,Canada,1,HighIncome,7,4.04150104522705
ABERDEEN,GBR,United Kingdom,1,HighIncome,9,6.6574969291687
Abu Dhabi,ARE,United Arab Emirates,2,N-Afr/MidEast,56.6666666666667,45.8957443237305
ACQUAPENDENTE,ITA,Italy,1,HighIncome,10,17.9379978179932
ADANA,TUR,Turkey,2,N-Afr/MidEast,28,23.3541259765625
Adelaide,AUS,Australia,1,HighIncome,6.51373927528571,3.15550030980791
ADIYAMAN,TUR,Turkey,2,N-Afr/MidEast,44,20.9560012817383
"Adrian, MI",USA,United States of America,1,HighIncome,9,9.98000144958496
Afikpo,NGA,Nigeria,7,Sub-Saharan Afr,25,50.7555084228516
Afula,ISR,Israel,1,HighIncome,21,29.7459983825684
AFYON,TUR,Turkey,2,N-Afr/MidEast,61,21.0610027313232
AG´è_´è__IMES,ESP,Spain,1,HighIncome,7,14.7574992179871
AGEN,FRA,France,1,HighIncome,9,10.5629997253418
AGIA PARASKEVI,GRC,Greece,1,HighIncome,10,16.7139987945557
Agra,IND,India,3,S-Asia,104.666666666667,76.8369903564453
AGRI,TUR,Turkey,2,N-Afr/MidEast,30,20.6684951782227
Ahmedabad,IND,India,3,S-Asia,52.1428571428571,47.0950012207031
Ahvaz,IRN,Iran (Islamic Republic of),2,N-Afr/MidEast,98.5,44.2409934997559
AIA,ESP,Spain,1,HighIncome,8,8.28300189971924
AIRVAULT,FRA,France,1,HighIncome,10,11.6830015182495
AIX-EN-PROVENCE,FRA,France,1,HighIncome,12.5,11.5434970855713
Aizawl,IND,India,3,S-Asia,28.8,26.3564987182617
AJACCIO,FRA,France,1,HighIncome,12.5,13.7669982910156
Ajka,HUN,Hungary,4,E-Eur/C-Eur/C-Asia,17,19.3390007019043
Akola,IND,India,3,S-Asia,74.3333333333333,43.8990097045898
"Akron, OH",USA,United States of America,1,HighIncome,10.5,9.90449905395508
AKSARAY,TUR,Turkey,2,N-Afr/MidEast,42,22.7265071868896
AKUREYRI,ISL,Iceland,1,HighIncome,8,2.91700005531311
Al Ain,ARE,United Arab Emirates,2,N-Afr/MidEast,53,41.5614944458008
Al Gharbia - Bida Zayed,ARE,United Arab Emirates,2,N-Afr/MidEast,63,47.6760025024414
Al Gharbia - Gayathi,ARE,United Arab Emirates,2,N-Afr/MidEast,62,51.4275016784668
Al Gharbia - Liwa Oasis,ARE,United Arab Emirates,2,N-Afr/MidEast,57,43.9055023193359
Al Jubail,SAU,Saudi Arabia,2,N-Afr/MidEast,154,63.2274894714355
Al Wakrah,QAT,Qatar,2,N-Afr/MidEast,85,57.9949913024902
Al-Ahmadi,KWT,Kuwait,2,N-Afr/MidEast,64,58.6640167236328
Al-Fahaheel,KWT,Kuwait,2,N-Afr/MidEast,44,60.6565093994141
Al-Jahra,KWT,Kuwait,2,N-Afr/MidEast,49,50.5005226135254
Al-Karak,JOR,Jordan,2,N-Afr/MidEast,19,28.7840061187744
Al-Mansouriya,KWT,Kuwait,2,N-Afr/MidEast,68,47.8330039978027
Al-Mutla,KWT,Kuwait,2,N-Afr/MidEast,47,57.8839950561523
Al-Rumaithyia,KWT,Kuwait,2,N-Afr/MidEast,58,49.9275054931641
Al-Salam,KWT,Kuwait,2,N-Afr/MidEast,64,57.2389984130859
Al-Shuwaikh,KWT,Kuwait,2,N-Afr/MidEast,88,47.8330039978027
Al-Zarqa',JOR,Jordan,2,N-Afr/MidEast,55,32.7558352152506
ALAG´è_´è__N,ESP,Spain,1,HighIncome,10,7.40899896621704
Alajuela,CRI,Costa Rica,5,LatAm/Carib,20,3.98950099945068
Alappuzha,IND,India,3,S-Asia,27,25.0890007019043
ALATRI,ITA,Italy,1,HighIncome,21,15.811993598938
ALBA,ITA,Italy,1,HighIncome,21,23.3620052337646
ALBA IULIA,ROU,Romania,4,E-Eur/C-Eur/C-Asia,20,21.7124977111816
ALBACETE,ESP,Spain,1,HighIncome,14,10.3050003051758
ALBALAT DELS TARONGERS,ESP,Spain,1,HighIncome,7,11.2365026473999
Albany,AUS,Australia,1,HighIncome,6.863598022,2.35000205039978
"Albany-Schenectady-Troy, NY",USA,United States of America,1,HighIncome,7,6.84000015258789
ALBENGA,ITA,Italy,1,HighIncome,12,15.8514986038208
ALBERTVILLE,FRA,France,1,HighIncome,11,13.9375028610229
ALBI,FRA,France,1,HighIncome,12.5,8.90650177001953
ALBISOLA SUPERIORE,ITA,Italy,1,HighIncome,6,21.9040012359619
Albufeira,PRT,Portugal,1,HighIncome,14,10.0030002593994
"Albuquerque, NM",USA,United States of America,1,HighIncome,6.66666666666667,3.73666636149089
Albury,AUS,Australia,1,HighIncome,6.821126854,2.73149991035461
ALCA´è_´è__IZ,ESP,Spain,1,HighIncome,8.5,8.67150115966797
ALCAL´è_´è____ DE HENARES,ESP,Spain,1,HighIncome,12,9.76000022888184
ALCANAR,ESP,Spain,1,HighIncome,12,8.95650100708008
ALCANTARILLA,ESP,Spain,1,HighIncome,12,12.3545007705688
ALCOBENDAS,ESP,Spain,1,HighIncome,9,10.110499382019
ALCORA (L'),ESP,Spain,1,HighIncome,9,11.4380006790161
ALCORC´è_´è__N,ESP,Spain,1,HighIncome,10,9.7554988861084
ALCOY/ALCOI,ESP,Spain,1,HighIncome,7,12.1389980316162
ALESSANDRIA,ITA,Italy,1,HighIncome,29,27.9195003509521
Alexandra,NZL,New Zealand,1,HighIncome,10,2.8000009059906
ALEXANDRIA,ROU,Romania,4,E-Eur/C-Eur/C-Asia,17,26.3229923248291
"Alexandria, LA",USA,United States of America,1,HighIncome,8,7.97449779510498
ALFARO,ESP,Spain,1,HighIncome,8,7.41199827194214
ALFONSINE,ITA,Italy,1,HighIncome,24,28.4269962310791
ALGAR,ESP,Spain,1,HighIncome,15,10.9439992904663
ALGAR DE PALANCIA,ESP,Spain,1,HighIncome,7,11.2365026473999
ALGECIRAS,ESP,Spain,1,HighIncome,13,13.2980003356934
ALGETE,ESP,Spain,1,HighIncome,9,9.26449966430664
Ali Subah Al-Salem,KWT,Kuwait,2,N-Afr/MidEast,74,62.6775131225586
ALICANTE/ALACANT,ESP,Spain,1,HighIncome,10.3333333333333,13.2176666259766
Allahabad,IND,India,3,S-Asia,170,89.9130249023438
"Allegan, MI",USA,United States of America,1,HighIncome,9,8.9084997177124
"Allentown-Bethlehem-Easton, PA-NJ",USA,United States of America,1,HighIncome,9.5,8.6766242980957
ALLUMIERE,ITA,Italy,1,HighIncome,7,14.824499130249
Almada,PRT,Portugal,1,HighIncome,9,11.0065002441406
ALMAZORA/ALMASSORA,ESP,Spain,1,HighIncome,8,13.2330026626587
ALMONTE,ESP,Spain,1,HighIncome,8,10.3830013275146
ALTENBURG,DEU,Germany,1,HighIncome,14,17.7004985809326
"Altoona, PA",USA,United States of America,1,HighIncome,11,7.32750129699707
Alwar,IND,India,3,S-Asia,81.3333333333333,56.3599815368652
ALZIRA,ESP,Spain,1,HighIncome,10,11.7410011291504
AMAROUSSIO,GRC,Greece,1,HighIncome,13,19.7065010070801
AMASYA,TUR,Turkey,2,N-Afr/MidEast,24,17.4970016479492
Ambato,ECU,Ecuador,5,LatAm/Carib,9,4.02449989318848
"Americana, REGI´è_´è__O METROPOLITANA DE CAMPINAS",BRA,Brazil,5,LatAm/Carib,16,9.788498878479
AMETLLA DE MAR (L'),ESP,Spain,1,HighIncome,6,8.81349945068359
AMIENS,FRA,France,1,HighIncome,13.5,14.9120035171509
Amman,JOR,Jordan,2,N-Afr/MidEast,32.625,31.1188724040985
Amravati,IND,India,3,S-Asia,54,43.9384918212891
Amritsar,IND,India,3,S-Asia,108,68.6685028076172
AMSTERDAM,NLD,Netherlands,1,HighIncome,15.4444444444444,15.0845560497708
ANAGNI,ITA,Italy,1,HighIncome,18,15.9669990539551
"Anchorage, AK",USA,United States of America,1,HighIncome,5,7.02289924621582
Andacollo,CHL,Chile,1,HighIncome,31,5.15949964523315
ANDENNE,BEL,Belgium,1,HighIncome,13,14.9609975814819
"Anderson, IN",USA,United States of America,1,HighIncome,10,10.0230026245117
ANGERS,FRA,France,1,HighIncome,12,12.7215023040771
ANGLET,FRA,France,1,HighIncome,17,8.94849872589111
ANGOULEME,FRA,France,1,HighIncome,13.5,11.1975002288818
Angul,IND,India,3,S-Asia,57,52.1890029907227
ANKARA,TUR,Turkey,2,N-Afr/MidEast,47.625,23.3440608978271
Anklesvar,IND,India,3,S-Asia,53.5,48.7319984436035
"Ann Arbor, MI",USA,United States of America,1,HighIncome,10,10.3015012741089
ANNABERG-BUCHHOLZ,DEU,Germany,1,HighIncome,14,17.7004985809326
ANNECY,FRA,France,1,HighIncome,14.3333333333333,14.5658353169759
ANNEMASSE,FRA,France,1,HighIncome,12,14.429500579834
ANSBACH,DEU,Germany,1,HighIncome,16,19.7720012664795
Anshan,CHN,China,6,SE-Asia/E-Asia/Oceania,65.1428571428571,50.2782211303711
ANTALYA,TUR,Turkey,2,N-Afr/MidEast,32,18.8875007629395
Antanarivo,MDG,Madagascar,7,Sub-Saharan Afr,37,6.85100030899048
ANTIBES,FRA,France,1,HighIncome,16,11.789999961853
Antofagasta,CHL,Chile,1,HighIncome,12,6.4549994468689
ANTWERPEN,BEL,Belgium,1,HighIncome,16.125,16.332496881485
Anyang,CHN,China,6,SE-Asia/E-Asia/Oceania,79.2,91.6166915893555
AOSTA,ITA,Italy,1,HighIncome,14.3333333333333,16.7270011901855
"Appleton, WI",USA,United States of America,1,HighIncome,9,7.53249931335449
APRILIA,ITA,Italy,1,HighIncome,14,16.8575000762939
"Ara´è_´è__atuba, INTERIOR DO ESTADO",BRA,Brazil,5,LatAm/Carib,16,7.29299879074097
Arad,ISR,Israel,1,HighIncome,23,34.3014984130859
ARAD,ROU,Romania,4,E-Eur/C-Eur/C-Asia,18,22.4980049133301
ARAFO,ESP,Spain,1,HighIncome,7,11.4410018920898
Arak,IRN,Iran (Islamic Republic of),2,N-Afr/MidEast,7,26.1070022583008
ARANDA DE DUERO,ESP,Spain,1,HighIncome,9,8.55199813842773
ARANJUEZ,ESP,Spain,1,HighIncome,11,9.29749965667725
"Araraquara, INTERIOR DO ESTADO",BRA,Brazil,5,LatAm/Carib,16,8.41749954223633
Arauc´è_´è__ria,BRA,Brazil,5,LatAm/Carib,14,7.21016724904378
ARDAHAN,TUR,Turkey,2,N-Afr/MidEast,38,19.0150032043457
AREZZO,ITA,Italy,1,HighIncome,18,23.0194988250732
ARGANDA DEL REY,ESP,Spain,1,HighIncome,12,10.2305021286011
ARHUS,DNK,Denmark,1,HighIncome,10.5,10.5567512512207
Arica,CHL,Chile,1,HighIncome,15,9.19600200653076
Ariel,ISR,Israel,1,HighIncome,15,29.7300033569336
Arl_v,SWE,Sweden,1,HighIncome,8,12.9474973678589
ARLES,FRA,France,1,HighIncome,16,11.3385019302368
ARMAGH,GBR,United Kingdom,1,HighIncome,14,6.88949871063232
Armenia,COL,Colombia,5,LatAm/Carib,11,4.48549604415894
ARMENTIERES,FRA,France,1,HighIncome,11,15.5679988861084
ARMILLA,ESP,Spain,1,HighIncome,15,9.47700119018555
ARNESANO,ITA,Italy,1,HighIncome,18,17.246000289917
ARNOLDSTEIN,AUT,Austria,1,HighIncome,10,14.4730014801025
ARONA,ESP,Spain,1,HighIncome,11,11.568247795105
Arr´è_´è__bal,ESP,Spain,1,HighIncome,8,8.1850004196167
ARRASATE O MONDRAG´è_´è__N,ESP,Spain,1,HighIncome,8,8.82749652862549
ARRECIFE,ESP,Spain,1,HighIncome,4.5,15.8965015411377
ARREST,FRA,France,1,HighIncome,11,14.7884998321533
ARTEIXO,ESP,Spain,1,HighIncome,9,8.62475204467773
ARTVIN,TUR,Turkey,2,N-Afr/MidEast,17,17.1285018920898
ARUCAS,ESP,Spain,1,HighIncome,11,13.2840003967285
ARZBERG,DEU,Germany,1,HighIncome,15,18.3215007781982
ASCHAFFENBURG,DEU,Germany,1,HighIncome,13,19.4829998016357
Ashburton,NZL,New Zealand,1,HighIncome,10,3.17950081825256
Ashdod,ISR,Israel,1,HighIncome,20.75,35.8592557907104
"Asheville, NC",USA,United States of America,1,HighIncome,8,6.3077495098114
Ashkelon,ISR,Israel,1,HighIncome,17.5,37.7165031433105
"Ashland, AL",USA,United States of America,1,HighIncome,9,8.21350002288818
ASSEMINI,ITA,Italy,1,HighIncome,18,12.164999961853
ASTI,ITA,Italy,1,HighIncome,20,25.6785049438477
ASTILLERO (EL),ESP,Spain,1,HighIncome,11,9.77000045776367
Asunci´è_´è__n,PRY,Paraguay,5,LatAm/Carib,18.6666666666667,7.30950037638346
ATAZAR (EL),ESP,Spain,1,HighIncome,7,8.75299835205078
ATHENS,GRC,Greece,1,HighIncome,15,20.7445011138916
"Athens-Clarke County, GA",USA,United States of America,1,HighIncome,10,8.62849998474121
"Athens, OH",USA,United States of America,1,HighIncome,8,8.68450164794922
"Athens, TN",USA,United States of America,1,HighIncome,9,7.37250185012817
"Atlanta-Sandy Springs-Marietta, GA",USA,United States of America,1,HighIncome,10.4,8.44649877548218
"Atlantic City, NJ",USA,United States of America,1,HighIncome,7.5,8.80124998092651
ATTON,FRA,France,1,HighIncome,9,15.7104978561401
Auckland,NZL,New Zealand,1,HighIncome,5.69230769230769,2.57319433872516
AUCLAIR,CAN,Canada,1,HighIncome,3,3.39999723434448
AUGSBURG,DEU,Germany,1,HighIncome,17.3333333333333,18.5533339182536
"Augusta-Richmond County, GA-SC",USA,United States of America,1,HighIncome,9.5,8.34324741363525
"Augusta-Waterville, ME",USA,United States of America,1,HighIncome,7,5.92500019073486
Aurangabad,IND,India,3,S-Asia,42.6666666666667,41.8445053100586
AURILLAC,FRA,France,1,HighIncome,9,8.91549873352051
"Austin-Round Rock, TX",USA,United States of America,1,HighIncome,9,6.12225008010864
AUXERRE,FRA,France,1,HighIncome,10,13.7665014266968
AVELLINO,ITA,Italy,1,HighIncome,18,14.8930006027222
AVIGNON,FRA,France,1,HighIncome,14,11.4715023040771
AVILES,ESP,Spain,1,HighIncome,18.25,8.41137456893921
AYDIN,TUR,Turkey,2,N-Afr/MidEast,44,19.3854961395264
AYIA MARINA,CYP,Cyprus,1,HighIncome,13,20.6150054931641
AYLESFORD,CAN,Canada,1,HighIncome,5,3.32199859619141
Ayr,AUS,Australia,1,HighIncome,8.53713361,3.17199683189392
AYTRE,FRA,France,1,HighIncome,14,11.1655006408691
AZPEITIA,ESP,Spain,1,HighIncome,10,8.36999988555908
Baalbak,LBN,Lebanon,2,N-Afr/MidEast,26,21.9344997406006
BACAU,ROU,Romania,4,E-Eur/C-Eur/C-Asia,14.5,22.4069995880127
BAD AROLSEN/KOHLGRUND,DEU,Germany,1,HighIncome,13,16.808500289917
BAD ISCHL,AUT,Austria,1,HighIncome,12,14.413498878479
BAD V_SLAU,AUT,Austria,1,HighIncome,13,17.9274997711182
BADAJOZ,ESP,Spain,1,HighIncome,7,9.68600082397461
BADALONA,ESP,Spain,1,HighIncome,11,10.0795011520386
Baddi,IND,India,3,S-Asia,53,58.6290054321289
BADEN-BADEN,DEU,Germany,1,HighIncome,11,18.0485000610352
BADIA POLESINE,ITA,Italy,1,HighIncome,22,30.4525051116943
BAERUM,NOR,Norway,1,HighIncome,10,5.76349973678589
Bafoussam,CMR,Cameroon,7,Sub-Saharan Afr,67,33.2330017089844
Baguio City,PHL,Philippines,6,SE-Asia/E-Asia/Oceania,43,8.56099700927734
BAIA MARE,ROU,Romania,4,E-Eur/C-Eur/C-Asia,17.5,22.0499992370605
BAIE-MAHAULT,FRA,France,1,HighIncome,9,4.39999580383301
"Bakersfield, CA",USA,United States of America,1,HighIncome,10,6.27366638183594
Balasore,IND,India,3,S-Asia,43.6666666666667,62.4534797668457
BALBRIGGAN,IRL,Ireland,1,HighIncome,8,7.2314977645874
BALIKESIR,TUR,Turkey,2,N-Afr/MidEast,28,18.0114994049072
"Baltimore-Towson, MD",USA,United States of America,1,HighIncome,9.57142857142857,9.78857054029192
BAMBERG,DEU,Germany,1,HighIncome,13,18.8030033111572
Bamenda,CMR,Cameroon,7,Sub-Saharan Afr,132,36.976001739502
Bandung,IDN,Indonesia,6,SE-Asia/E-Asia/Oceania,33,15.1274995803833
Bangalore,IND,India,3,S-Asia,63.4285714285714,29.2944927215576
Bangkok,THA,Thailand,6,SE-Asia/E-Asia/Oceania,23.5714285714286,38.8287140982492
BANSKA BYSTRICA,SVK,Slovakia,4,E-Eur/C-Eur/C-Asia,20.5,18.6759986877441
Baoding,CHN,China,6,SE-Asia/E-Asia/Oceania,126,87.1730702718099
Baoji,CHN,China,6,SE-Asia/E-Asia/Oceania,64.625,47.0721921920776
Baotou,CHN,China,6,SE-Asia/E-Asia/Oceania,51,32.0001640319824
Bar,MNE,Montenegro,4,E-Eur/C-Eur/C-Asia,25,17.8804988861084
BAR-LE-DUC,FRA,France,1,HighIncome,11,14.0980014801025
"Baraboo, WI",USA,United States of America,1,HighIncome,7,7.53999900817871
Barbosa,COL,Colombia,5,LatAm/Carib,14,5.10549879074097
BARCARROTA,ESP,Spain,1,HighIncome,7,9.76100063323975
BARCELONA,ESP,Spain,1,HighIncome,15.2,10.9360013008118
BARI,ITA,Italy,1,HighIncome,17,17.185998916626
Barisal,BGD,Bangladesh,3,S-Asia,85,53.305004119873
Barkai,ISR,Israel,1,HighIncome,26,30.2664966583252
"Barra Mansa, REGI´è_´è__O DO M´è_´è__DIO PARA´è_´è__BA",BRA,Brazil,5,LatAm/Carib,12.5,8.40624952316284
BARRIE,CAN,Canada,1,HighIncome,7,6.58949947357178
BARRIOS (LOS),ESP,Spain,1,HighIncome,14.5,13.2980003356934
BARTIN,TUR,Turkey,2,N-Afr/MidEast,37,14.4894971847534
BASEL,CHE,Switzerland,1,HighIncome,12.6666666666667,17.3754997253418
BASSANO DEL GRAPPA,ITA,Italy,1,HighIncome,19,25.8984985351562
BASSENS,FRA,France,1,HighIncome,11,10.412501335144
BASTIA,FRA,France,1,HighIncome,13.3333333333333,14.7174994150798
Bat Hadar,ISR,Israel,1,HighIncome,17,37.7165031433105
Bathurst,AUS,Australia,1,HighIncome,6.263424659,2.59800171852112
BATHURST,CAN,Canada,1,HighIncome,7,3.25550174713135
BATMAN,TUR,Turkey,2,N-Afr/MidEast,68,20.7210006713867
"Baton Rouge, LA",USA,United States of America,1,HighIncome,8.66666666666667,8.63066514333089
"Battlement Mesa,Garfield,CO",USA,United States of America,1,HighIncome,4,3.64800047874451
"Bauru, INTERIOR DO ESTADO",BRA,Brazil,5,LatAm/Carib,13,8.225998878479
BAUTZEN,DEU,Germany,1,HighIncome,15,19.1800060272217
"Bay City, MI",USA,United States of America,1,HighIncome,8,8.34949970245361
Bayan Lepas,MYS,Malaysia,6,SE-Asia/E-Asia/Oceania,17,18.0444984436035
BAYBURT,TUR,Turkey,2,N-Afr/MidEast,40,17.9835033416748
BAYONNE,FRA,France,1,HighIncome,8,8.25549983978271
BEASAIN,ESP,Spain,1,HighIncome,10,8.75549983978271
"Beau Bassin/Rose Hill, Coromandel",MUS,Mauritius,7,Sub-Saharan Afr,67,2.64999747276306
BEAUVAIS,FRA,France,1,HighIncome,15,14.4805002212524
"Beaver Dam, WI",USA,United States of America,1,HighIncome,9,8.54450035095215
BEAVERLODGE,CAN,Canada,1,HighIncome,8,3.20899939537048
BEBRA,DEU,Germany,1,HighIncome,14,17.4590015411377
Beer Sheva,ISR,Israel,1,HighIncome,23,35.0420074462891
Beihai,CHN,China,6,SE-Asia/E-Asia/Oceania,39.75,50.2641220092773
Beijing,CHN,China,6,SE-Asia/E-Asia/Oceania,85.2142857142857,56.7531048910958
Beirut,LBN,Lebanon,2,N-Afr/MidEast,31.5,26.5924968719482
Beit Shemesh,ISR,Israel,1,HighIncome,16,33.3255043029785
BEKERICH,LUX,Luxembourg,1,HighIncome,16,13.9155054092407
Bel_n,CRI,Costa Rica,5,LatAm/Carib,30,4.09650135040283
BELFAST,GBR,United Kingdom,1,HighIncome,12,7.51800107955933
BELFORT,FRA,France,1,HighIncome,10,16.2249984741211
BELGRADE,SRB,Serbia,4,E-Eur/C-Eur/C-Asia,23,24.5383706092834
BELLEVILLE,CAN,Canada,1,HighIncome,7,6.55150032043457
BELLEVILLE-SUR-MEUSE,FRA,France,1,HighIncome,14,14.4129981994629
"Bellingham, WA",USA,United States of America,1,HighIncome,8,4.44350147247314
Bello,COL,Colombia,5,LatAm/Carib,19,4.7069993019104
BELLUNO,ITA,Italy,1,HighIncome,16,18.1175022125244
BELSK DUZY,POL,Poland,4,E-Eur/C-Eur/C-Asia,23,23.147497177124
BENEVENTO,ITA,Italy,1,HighIncome,18.5,16.315502166748
BENICASIM/BENIC´è_´è__´è_´è__SSIM,ESP,Spain,1,HighIncome,7,11.2305021286011
BENIDORM,ESP,Spain,1,HighIncome,8,13.6760025024414
"Bennington, VT",USA,United States of America,1,HighIncome,6,6.37350034713745
Benxi,CHN,China,6,SE-Asia/E-Asia/Oceania,53.5,43.2233339945475
BERENDRECHT,BEL,Belgium,1,HighIncome,17,16.6724967956543
BERGAMO,ITA,Italy,1,HighIncome,25.5,30.6974983215332
BERGEN,NOR,Norway,1,HighIncome,8.5,5.63000106811523
Berhampur,IND,India,3,S-Asia,43,45.2129974365234
BERLIN,DEU,Germany,1,HighIncome,16.875,17.3118758201599
BERN,CHE,Switzerland,1,HighIncome,14,15.6085023880005
BERNBURG,DEU,Germany,1,HighIncome,14,17.4130001068115
BERNHAUSEN,DEU,Germany,1,HighIncome,14,18.7674980163574
BEROUN,CZE,Czech Republic,4,E-Eur/C-Eur/C-Asia,13,19.4694976806641
BERTONICO,ITA,Italy,1,HighIncome,23,31.5019989013672
BERTRIX,BEL,Belgium,1,HighIncome,10,13.4189968109131
BESANCON,FRA,France,1,HighIncome,14.5,16.016996383667
BESENZONE,ITA,Italy,1,HighIncome,21,32.2424964904785
BESSIERES,FRA,France,1,HighIncome,11,9.65899848937988
BETHENY,FRA,France,1,HighIncome,12,15.3980045318604
BETHUNE,FRA,France,1,HighIncome,13,16.0074996948242
BEVERWIJK,NLD,Netherlands,1,HighIncome,13,15.2244987487793
Bhilai,IND,India,3,S-Asia,55,46.085994720459
Bhopal,IND,India,3,S-Asia,92.6666666666667,45.0794906616211
Bhubneshwar,IND,India,3,S-Asia,43.2,55.4849967956543
BIALA PODLASKA,POL,Poland,4,E-Eur/C-Eur/C-Asia,20,21.2000007629395
BIALYSTOK,POL,Poland,4,E-Eur/C-Eur/C-Asia,19.5,19.0979976654053
BIANDRATE,GBR,United Kingdom,1,HighIncome,13,12.3309984207153
BIBERACH,DEU,Germany,1,HighIncome,12,17.1069965362549
BIEDERMANNSDORF,AUT,Austria,1,HighIncome,15,18.877498626709
BIELEFELD,DEU,Germany,1,HighIncome,14,17.1014995574951
BIELLA,ITA,Italy,1,HighIncome,14,25.2244968414307
BIELSKO BIALA,POL,Poland,4,E-Eur/C-Eur/C-Asia,32.5,22.653003692627
BILBAO,ESP,Spain,1,HighIncome,11,8.35499858856201
BILECIK,TUR,Turkey,2,N-Afr/MidEast,32,18.8819999694824
BILLERE,FRA,France,1,HighIncome,10,9.07049942016602
BINGOL,TUR,Turkey,2,N-Afr/MidEast,21,18.8490009307861
Binzhou,CHN,China,6,SE-Asia/E-Asia/Oceania,53,84.1721750895182
BIRKENHEAD,GBR,United Kingdom,1,HighIncome,11,10.0840005874634
BIRMINGHAM,GBR,United Kingdom,1,HighIncome,14.3333333333333,11.3121652603149
"Birmingham-Hoover, AL",USA,United States of America,1,HighIncome,11,8.73175024986267
"Bishop, CA",USA,United States of America,1,HighIncome,8,4.72999906539917
"Bismarck, ND",USA,United States of America,1,HighIncome,5,4.7785005569458
BITLIS,TUR,Turkey,2,N-Afr/MidEast,52,22.3579998016357
BITOLA,MKD,The former Yugoslav Republic of Macedonia,4,E-Eur/C-Eur/C-Asia,40,21.0079975128174
BITTERFELD,DEU,Germany,1,HighIncome,10,15.8699998855591
BIZANOS,FRA,France,1,HighIncome,9,9.07049942016602
Bizerte,TUN,Tunisia,2,N-Afr/MidEast,34,15.4765005111694
BLAGOEVGRAD,BGR,Bulgaria,4,E-Eur/C-Eur/C-Asia,27,19.3885021209717
BLEJOI,ROU,Romania,4,E-Eur/C-Eur/C-Asia,20,24.0794944763184
Blenheim,NZL,New Zealand,1,HighIncome,9,2.89999723434448
BLENOD-LES-PONT-A-MOUSSON,FRA,France,1,HighIncome,11,15.7104978561401
BLOIS,FRA,France,1,HighIncome,10,12.4815006256104
"Bloomington, IN",USA,United States of America,1,HighIncome,10,9.61549997329712
BLUDENZ,AUT,Austria,1,HighIncome,13,13.8065013885498
Bnei Brak,ISR,Israel,1,HighIncome,22.5,33.0315055847168
BOBIGNY,FRA,France,1,HighIncome,14,15.2945022583008
BOCHNIA,POL,Poland,4,E-Eur/C-Eur/C-Asia,30,21.265998840332
BOGATYNIA,POL,Poland,4,E-Eur/C-Eur/C-Asia,15,19.1350002288818
Bogot´è_´è__,COL,Colombia,5,LatAm/Carib,21.9,6.03459939956665
BOIS-HERPIN,FRA,France,1,HighIncome,8,14.8370018005371
Bojnord,IRN,Iran (Islamic Republic of),2,N-Afr/MidEast,32,19.4099960327148
BOLOGNA,ITA,Italy,1,HighIncome,17.3333333333333,28.1726684570312
BOLU,TUR,Turkey,2,N-Afr/MidEast,49,18.880500793457
BOLZANO,ITA,Italy,1,HighIncome,11,14.4279975891113
Bongaigaon,IND,India,3,S-Asia,24.5,54.7925109863281
BONN,DEU,Germany,1,HighIncome,14,15.9769992828369
BOOM,BEL,Belgium,1,HighIncome,16,16.6585006713867
"Boone, NC",USA,United States of America,1,HighIncome,7,5.73449897766113
BORDEAUX,FRA,France,1,HighIncome,14,10.7244987487793
BORGARO TORINESE,ITA,Italy,1,HighIncome,27,20.6275005340576
BORGO VALSUGANA,ITA,Italy,1,HighIncome,17,20.7270011901855
BORGOFRANCO SUL PO,ITA,Italy,1,HighIncome,20,31.9854984283447
BORGOSESIA,ITA,Italy,1,HighIncome,17,23.2565040588379
BORKEN,DEU,Germany,1,HighIncome,15,16.2995014190674
BORMIO,ITA,Italy,1,HighIncome,11,14.0550012588501
BORNA,DEU,Germany,1,HighIncome,16,17.7084980010986
BOSCO CHIESANUOVA,ITA,Italy,1,HighIncome,13,29.157995223999
Boshehr,IRN,Iran (Islamic Republic of),2,N-Afr/MidEast,105,32.6645050048828
"Boston-Cambridge-Quincy, MA-NH",USA,United States of America,1,HighIncome,6.63636363636364,7.16981900822033
BOTOSANI,ROU,Romania,4,E-Eur/C-Eur/C-Asia,21,22.5864963531494
BOTTROP,DEU,Germany,1,HighIncome,16,17.5164985656738
"Boulder, CO",USA,United States of America,1,HighIncome,7,3.97924947738647
BOULOGNE-SUR-MER,FRA,France,1,HighIncome,14,15.9329996109009
BOURG-EN-BRESSE,FRA,France,1,HighIncome,11,14.5984926223755
